platform,placement,target_url,utm_url
pinterest,filled-pack,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=filled-pack
pinterest,multipack-fit,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=multipack-fit
pinterest,corrugated-shipper,https://apexpackagingsolutions.com/services/corrugated-boxes,https://apexpackagingsolutions.com/services/corrugated-boxes?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=corrugated-shipper
pinterest,artwork-review,https://apexpackagingsolutions.com/design-support,https://apexpackagingsolutions.com/design-support?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=artwork-review
pinterest,tea-rfq,https://apexpackagingsolutions.com/contact,https://apexpackagingsolutions.com/contact?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=tea-rfq
linkedin,multipack-brief,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22?utm_source=linkedin&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=multipack-brief
facebook,tea-assortment,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22?utm_source=facebook&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=tea-assortment
instagram,tea-assortment,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22?utm_source=instagram&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=tea-assortment
x,tea-fit,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22?utm_source=x&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=tea-fit
threads,tea-fit,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22?utm_source=threads&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=tea-fit
youtube,tea-fit-short,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22,https://apexpackagingsolutions.com/blog/tea-packaging-boxes-for-cartons-tins-and-pouches-2026-09-22?utm_source=youtube&utm_medium=organic_social&utm_campaign=2026-09-22-tea-packaging&utm_content=tea-fit-short
